,Actuals,0
3899,8.6,8.218859
3900,9.45,9.298563
3901,9.15,9.985488
3902,7.5,9.195158
3903,6.4,7.3706274
3904,5.800000000000002,7.362318
3905,8.6,7.131509
3906,10.55,10.002271
3907,9.45,10.239322
3908,11.95,8.621416
3909,12.8,11.913926
3910,11.95,12.060706
3911,11.95,10.35572
3912,13.05,10.106123
3913,13.1,11.837211
3914,10.0,12.173047
3915,6.65,8.727681
3916,8.9,6.6331367
3917,6.4,9.27394
3918,12.75,6.1825504
3919,13.05,15.0162115
3920,7.5,10.136957
3921,5.85,7.0321493
3922,7.5,6.828887
3923,3.35,7.8323936
3924,4.7,2.6162395
3925,5.3,6.043706
3926,10.3,6.4831305
3927,10.0,10.3279505
3928,3.35,6.6090536
3929,2.5,2.7178726
3930,2.2,2.4742696
3931,0.29999999999999993,1.8436881
3932,0.29999999999999993,-0.4480188
3933,0.55,0.679914
3934,-0.8499999999999999,-1.1348615
3935,-3.05,-0.33990574
3936,-1.15,-1.2786753
3937,4.45,1.3558241
3938,8.850000000000003,6.526803
3939,1.6500000000000004,6.0854635
3940,-6.1,-1.9357812
3941,-4.75,-5.009554
3942,-3.05,-1.7360327
3943,-1.4,-0.21705937
3944,0.0,0.503744
3945,0.8499999999999999,0.8215567
3946,-0.55,0.35745645
3947,0.5499999999999998,-0.87408376
3948,0.5499999999999998,0.16833377
3949,0.29999999999999993,1.4742688
3950,1.35,0.083389044
3951,-1.95,1.3656666
3952,-3.6,-3.8509624
3953,-4.45,-1.9580991
3954,-0.5500000000000003,-0.8153355
3955,1.1,1.8239216
3956,1.1,2.391883
3957,4.7,4.0901604
3958,8.05,6.099843
3959,6.4,7.9052773
3960,0.0,2.7954469
3961,1.65,-0.1802404
3962,1.1,2.902133
3963,-1.35,-0.7663679
3964,-1.65,-0.737911
3965,-2.8,-1.860892
3966,-1.65,-1.7713301
3967,-1.35,-1.3561189
3968,-2.8,-2.163452
3969,-2.5,-4.2541056
3970,-4.45,-4.2118425
3971,-4.45,-6.0442266
3972,-0.8500000000000001,-3.7017286
3973,-0.25,0.41241574
3974,-5.0,-4.194145
3975,0.2999999999999998,-4.2906637
3976,3.35,0.9944011
3977,0.29999999999999993,2.6642442
3978,-3.9,-0.97427726
3979,-7.5,-3.4503562
3980,-8.05,-5.977248
3981,-9.4,-5.2097397
3982,-0.8000000000000003,-5.2257805
3983,0.29999999999999993,-0.09380007
3984,0.2500000000000001,2.133306
3985,-0.55,0.027433395
3986,0.2500000000000001,-0.6064944
3987,0.55,0.028488874
3988,-3.1,-0.9374635
3989,-2.5,-3.31965
3990,0.25,-1.703696
3991,-1.65,1.0454115
3992,-1.95,-0.8907583
3993,2.75,-0.30306745
3994,5.0,3.7183065
3995,4.7,5.968135
3996,-1.4,1.7705917
3997,-5.55,-1.7175553
3998,-3.65,-2.1176956
3999,-2.2,-0.848542
4000,1.65,0.81493807
4001,2.8,2.881398
4002,8.6,4.8943644
4003,-0.55,5.2644453
4004,2.8000000000000003,-0.18176293
4005,12.5,11.294555
4006,13.6,12.356507
4007,3.6,3.8602319
4008,-0.8499999999999996,-2.4898126
4009,-0.8000000000000003,0.020442486
4010,-3.35,-2.0152996
4011,-0.8499999999999996,-1.3299983
4012,2.8,2.101838
4013,7.5,4.7697687
4014,2.75,5.466467
4015,6.65,1.6798427
4016,10.0,9.235454
